State,Date,# COVID Tweets,# Twitter Users
Alabama,2020-03-01,0,0
Alabama,2020-03-02,0,0
Alabama,2020-03-03,0,0
Alabama,2020-03-04,0,0
Alabama,2020-03-05,0,0
Alabama,2020-03-06,0,0
Alabama,2020-03-07,0,0
Alabama,2020-03-08,0,0
Alabama,2020-03-09,0,0
Alabama,2020-03-10,0,0
Alabama,2020-03-11,0,0
Alabama,2020-03-12,379,308
Alabama,2020-03-13,3800,2438
Alabama,2020-03-14,3254,2257
Alabama,2020-03-15,3211,1963
Alabama,2020-03-16,2931,1894
Alabama,2020-03-17,3134,2076
Alabama,2020-03-18,3165,2077
Alabama,2020-03-19,3219,2154
Alabama,2020-03-20,3231,2200
Alabama,2020-03-21,2523,1751
Alabama,2020-03-22,2697,1675
Alabama,2020-03-23,3179,1887
Alabama,2020-03-24,3198,1925
Alabama,2020-03-25,3586,2063
Alabama,2020-03-26,2067,1327
Alabama,2020-03-27,3217,1940
Alabama,2020-03-28,2752,1675
Alabama,2020-03-29,2841,1617
Alabama,2020-03-30,2174,1360
Alabama,2020-03-31,2951,1806
Alabama,2020-04-01,3275,1860
Alabama,2020-04-02,3683,2157
Alabama,2020-04-03,3342,1925
Alabama,2020-04-04,3250,1801
Alabama,2020-04-05,2831,1524
Alabama,2020-04-06,3168,1723
Alabama,2020-04-07,3312,1896
Alabama,2020-04-08,3458,1947
Alabama,2020-04-09,3354,1815
Alabama,2020-04-10,3087,1759
Alabama,2020-04-11,2622,1481
Alabama,2020-04-12,2472,1408
Alabama,2020-04-13,2660,1390
Alabama,2020-04-14,3146,1787
Alabama,2020-04-15,3032,1735
Alabama,2020-04-16,2861,1565
Alabama,2020-04-17,3040,1699
Alabama,2020-04-18,2836,1419
Alabama,2020-04-19,2729,1326
Alabama,2020-04-20,2758,1489
Alabama,2020-04-21,2264,1313
Alabama,2020-04-22,2829,1478
Alabama,2020-04-23,2861,1594
Alabama,2020-04-24,2706,1444
Alabama,2020-04-25,2178,1140
Alabama,2020-04-26,2060,1066
Alabama,2020-04-27,2545,1320
Alabama,2020-04-28,2950,1633
Alabama,2020-04-29,2654,1482
Alabama,2020-04-30,2356,1254
Alabama,2020-05-01,2377,1380
Alabama,2020-05-02,1829,1051
Alabama,2020-05-03,1861,993
Alabama,2020-05-04,2350,1272
Alabama,2020-05-05,2576,1339
Alabama,2020-05-06,2492,1278
Alabama,2020-05-07,2308,1293
Alabama,2020-05-08,2758,1472
Alabama,2020-05-09,1846,1027
Alabama,2020-05-10,1697,912
Alabama,2020-05-11,2275,1302
Alabama,2020-05-12,2212,1268
Alabama,2020-05-13,2142,1225
Alabama,2020-05-14,2381,1349
Alabama,2020-05-15,2334,1325
Alabama,2020-05-16,1426,781
Alabama,2020-05-17,1512,862
Alabama,2020-05-18,2239,1259
Alabama,2020-05-19,2361,1360
Alabama,2020-05-20,2381,1469
Alabama,2020-05-21,2394,1398
Alabama,2020-05-22,1551,939
Alabama,2020-05-23,1285,806
Alabama,2020-05-24,1445,941
Alabama,2020-05-25,1349,848
Alabama,2020-05-26,1792,1139
Alabama,2020-05-27,1622,1048
Alabama,2020-05-28,1837,1136
Alabama,2020-05-29,1766,1082
Alabama,2020-05-30,1028,710
Alabama,2020-05-31,966,660
Alabama,2020-06-01,1359,887
Alabama,2020-06-02,1127,806
Alabama,2020-06-03,1067,722
Alabama,2020-06-04,1775,1244
Alabama,2020-06-05,1217,814
Alabama,2020-06-06,843,563
Alabama,2020-06-07,783,576
Alabama,2020-06-08,1055,701
Alabama,2020-06-10,1207,858
Alabama,2020-06-11,1375,832
Alabama,2020-06-12,1364,882
Alabama,2020-06-13,1006,693
Alabama,2020-06-14,1036,739
Alabama,2020-06-15,1586,991
Alabama,2020-06-16,1503,914
Alabama,2020-06-17,1606,977
Alabama,2020-06-18,1664,1173
Alabama,2020-06-19,1601,1129
Alabama,2020-06-22,1469,1000
Alabama,2020-06-23,1766,1102
Alabama,2020-06-24,1529,992
Alabama,2020-06-25,1942,1074
Alabama,2020-06-26,2195,1345
Alabama,2020-06-27,1725,1097
Alabama,2020-06-29,1713,1062
Alabama,2020-06-30,1992,1150
Alabama,2020-07-01,1990,1289
Alabama,2020-07-02,2509,1496
Alabama,2020-07-03,2223,1198
Alabama,2020-07-04,1357,855
Alabama,2020-07-05,1037,656
Alabama,2020-07-06,1987,1196
Alabama,2020-07-07,2174,1200
Alabama,2020-07-08,2018,1164
Alabama,2020-07-09,2229,1358
Alabama,2020-07-10,2086,1274
Alabama,2020-07-11,1561,1001
Alabama,2020-07-12,1375,839
Alabama,2020-07-13,2041,1196
Alabama,2020-07-14,2209,1202
Alabama,2020-07-15,2415,1448
Alabama,2020-07-16,2543,1390
Alabama,2020-07-17,2506,1381
Alabama,2020-07-18,1465,929
Alabama,2020-07-19,1093,665
Alabama,2020-07-20,1790,1040
Alabama,2020-07-21,1725,1043
Alabama,2020-07-22,1479,923
Alabama,2020-07-23,1438,852
Alabama,2020-07-24,1339,798
Alabama,2020-07-25,1412,956
Alabama,2020-07-26,1086,773
Alabama,2020-07-27,1676,1051
Alabama,2020-07-28,2254,1192
Alabama,2020-07-29,2002,1123
Alabama,2020-07-30,2198,1193
Alabama,2020-07-31,1803,1042
Alabama,2020-08-01,1196,710
Alabama,2020-08-02,1288,685
Alabama,2020-08-03,1554,887
Alabama,2020-08-04,1325,827
Alabama,2020-08-05,1473,904
Alabama,2020-08-06,1553,966
Alabama,2020-08-07,1531,982
Alabama,2020-08-08,840,553
Alabama,2020-08-09,957,629
Alabama,2020-08-10,1461,937
Alabama,2020-08-11,1568,970
Alabama,2020-08-12,1189,743
Alabama,2020-08-13,1158,767
Alabama,2020-08-14,1034,682
Alabama,2020-08-15,736,515
Alabama,2020-08-16,707,461
Alabama,2020-08-17,1184,789
Alaska,2020-03-01,0,0
Alaska,2020-03-02,0,0
Alaska,2020-03-03,0,0
Alaska,2020-03-04,0,0
Alaska,2020-03-05,0,0
Alaska,2020-03-06,0,0
Alaska,2020-03-07,0,0
Alaska,2020-03-08,0,0
Alaska,2020-03-09,0,0
Alaska,2020-03-10,0,0
Alaska,2020-03-11,0,0
Alaska,2020-03-12,95,78
Alaska,2020-03-13,1037,580
Alaska,2020-03-14,1014,595
Alaska,2020-03-15,914,475
Alaska,2020-03-16,854,453
Alaska,2020-03-17,1001,578
Alaska,2020-03-18,941,525
Alaska,2020-03-19,1039,592
Alaska,2020-03-20,1041,586
Alaska,2020-03-21,863,501
Alaska,2020-03-22,877,464
Alaska,2020-03-23,961,506
Alaska,2020-03-24,957,512
Alaska,2020-03-25,970,494
Alaska,2020-03-26,500,293
Alaska,2020-03-27,903,460
Alaska,2020-03-28,882,459
Alaska,2020-03-29,903,451
Alaska,2020-03-30,560,299
Alaska,2020-03-31,1004,513
Alaska,2020-04-01,989,520
Alaska,2020-04-02,951,471
Alaska,2020-04-03,1002,474
Alaska,2020-04-04,983,470
Alaska,2020-04-05,941,425
Alaska,2020-04-06,1023,492
Alaska,2020-04-07,1057,556
Alaska,2020-04-08,961,459
Alaska,2020-04-09,989,500
Alaska,2020-04-10,1088,477
Alaska,2020-04-11,892,436
Alaska,2020-04-12,775,355
Alaska,2020-04-13,867,357
Alaska,2020-04-14,934,444
Alaska,2020-04-15,913,436
Alaska,2020-04-16,831,438
Alaska,2020-04-17,860,407
Alaska,2020-04-18,840,386
Alaska,2020-04-19,868,366
Alaska,2020-04-20,779,362
Alaska,2020-04-21,714,324
Alaska,2020-04-22,856,414
Alaska,2020-04-23,754,371
Alaska,2020-04-24,832,447
Alaska,2020-04-25,789,357
Alaska,2020-04-26,754,338
Alaska,2020-04-27,679,337
Alaska,2020-04-28,728,346
Alaska,2020-04-29,709,373
Alaska,2020-04-30,654,324
Alaska,2020-05-01,580,320
Alaska,2020-05-02,581,293
Alaska,2020-05-03,515,241
Alaska,2020-05-04,638,317
Alaska,2020-05-05,696,350
Alaska,2020-05-06,651,327
Alaska,2020-05-07,667,316
Alaska,2020-05-08,651,316
Alaska,2020-05-09,566,283
Alaska,2020-05-10,567,281
Alaska,2020-05-11,645,321
Alaska,2020-05-12,643,338
Alaska,2020-05-13,564,321
Alaska,2020-05-14,580,313
Alaska,2020-05-15,607,337
Alaska,2020-05-16,502,281
Alaska,2020-05-17,480,269
Alaska,2020-05-18,563,296
Alaska,2020-05-19,528,313
Alaska,2020-05-20,624,353
Alaska,2020-05-21,499,314
Alaska,2020-05-22,401,217
Alaska,2020-05-23,405,225
Alaska,2020-05-24,386,202
Alaska,2020-05-25,377,209
Alaska,2020-05-26,422,271
Alaska,2020-05-27,400,243
Alaska,2020-05-28,564,303
Alaska,2020-05-29,525,329
Alaska,2020-05-30,311,217
Alaska,2020-05-31,313,208
Alaska,2020-06-01,363,239
Alaska,2020-06-02,319,230
Alaska,2020-06-03,321,209
Alaska,2020-06-04,381,268
Alaska,2020-06-05,296,203
Alaska,2020-06-06,293,177
Alaska,2020-06-07,263,184
Alaska,2020-06-08,316,197
Alaska,2020-06-10,361,242
Alaska,2020-06-11,338,221
Alaska,2020-06-12,412,277
Alaska,2020-06-13,334,209
Alaska,2020-06-14,321,207
Alaska,2020-06-15,384,220
Alaska,2020-06-16,496,272
Alaska,2020-06-17,491,269
Alaska,2020-06-18,433,273
Alaska,2020-06-19,457,263
Alaska,2020-06-22,430,254
Alaska,2020-06-23,549,340
Alaska,2020-06-24,489,275
Alaska,2020-06-25,558,323
Alaska,2020-06-26,583,359
Alaska,2020-06-27,502,273
Alaska,2020-06-29,533,284
Alaska,2020-06-30,541,334
Alaska,2020-07-01,547,296
Alaska,2020-07-02,563,308
Alaska,2020-07-03,639,329
Alaska,2020-07-04,484,261
Alaska,2020-07-05,386,209
Alaska,2020-07-06,539,304
Alaska,2020-07-07,527,300
Alaska,2020-07-08,565,320
Alaska,2020-07-09,531,316
Alaska,2020-07-10,546,297
Alaska,2020-07-11,579,324
Alaska,2020-07-12,581,319
Alaska,2020-07-13,647,362
Alaska,2020-07-14,624,318
Alaska,2020-07-15,648,356
Alaska,2020-07-16,749,385
Alaska,2020-07-17,735,361
Alaska,2020-07-18,562,306
Alaska,2020-07-19,393,225
Alaska,2020-07-20,540,287
Alaska,2020-07-21,520,274
Alaska,2020-07-22,488,253
Alaska,2020-07-23,471,254
Alaska,2020-07-24,459,225
Alaska,2020-07-25,493,287
Alaska,2020-07-26,436,262
Alaska,2020-07-27,506,308
Alaska,2020-07-28,651,330
Alaska,2020-07-29,655,321
Alaska,2020-07-30,663,342
Alaska,2020-07-31,624,347
Alaska,2020-08-01,431,223
Alaska,2020-08-02,446,231
Alaska,2020-08-03,486,279
Alaska,2020-08-04,397,236
Alaska,2020-08-05,464,252
Alaska,2020-08-06,483,273
Alaska,2020-08-07,432,230
Alaska,2020-08-08,341,182
Alaska,2020-08-09,407,216
Alaska,2020-08-10,484,259
Alaska,2020-08-11,463,247
Alaska,2020-08-12,310,175
Alaska,2020-08-13,365,194
Alaska,2020-08-14,304,198
Alaska,2020-08-15,250,156
Alaska,2020-08-16,221,136
Alaska,2020-08-17,281,163
Arizona,2020-03-01,0,0
Arizona,2020-03-02,0,0
Arizona,2020-03-03,0,0
Arizona,2020-03-04,0,0
Arizona,2020-03-05,0,0
Arizona,2020-03-06,0,0
Arizona,2020-03-07,0,0
Arizona,2020-03-08,0,0
Arizona,2020-03-09,0,0
Arizona,2020-03-10,0,0
Arizona,2020-03-11,0,0
Arizona,2020-03-12,915,699
Arizona,2020-03-13,8699,5108
Arizona,2020-03-14,8169,4961
Arizona,2020-03-15,7852,4407
Arizona,2020-03-16,7985,4713
Arizona,2020-03-17,9139,5555
Arizona,2020-03-18,8713,5277
Arizona,2020-03-19,8683,5337
Arizona,2020-03-20,9065,5470
Arizona,2020-03-21,7312,4427
Arizona,2020-03-22,7576,4249
Arizona,2020-03-23,8785,4917
Arizona,2020-03-24,8443,4568
Arizona,2020-03-25,8351,4476
Arizona,2020-03-26,4626,2866
Arizona,2020-03-27,8735,4603
Arizona,2020-03-28,7680,4097
Arizona,2020-03-29,7970,4109
Arizona,2020-03-30,5703,3619
Arizona,2020-03-31,8804,4881
Arizona,2020-04-01,8755,4669
Arizona,2020-04-02,8537,4562
Arizona,2020-04-03,8899,4550
Arizona,2020-04-04,8349,4059
Arizona,2020-04-05,7607,3652
Arizona,2020-04-06,8643,4389
Arizona,2020-04-07,8811,4556
Arizona,2020-04-08,9175,4457
Arizona,2020-04-09,8561,4328
Arizona,2020-04-10,8298,4198
Arizona,2020-04-11,7312,3607
Arizona,2020-04-12,6900,3383
Arizona,2020-04-13,6882,3570
Arizona,2020-04-14,8210,4333
Arizona,2020-04-15,8566,4238
Arizona,2020-04-16,8333,4203
Arizona,2020-04-17,7463,3880
Arizona,2020-04-18,7921,3816
Arizona,2020-04-19,7783,3570
Arizona,2020-04-20,7938,3765
Arizona,2020-04-21,6947,3475
Arizona,2020-04-22,8196,3911
Arizona,2020-04-23,7558,3786
Arizona,2020-04-24,7645,3760
Arizona,2020-04-25,6418,3098
Arizona,2020-04-26,5625,2785
Arizona,2020-04-27,6650,3298
Arizona,2020-04-28,7475,3728
Arizona,2020-04-29,8039,3922
Arizona,2020-04-30,7035,3517
Arizona,2020-05-01,6949,3580
Arizona,2020-05-02,5829,3036
Arizona,2020-05-03,5027,2464
Arizona,2020-05-04,6520,3190
Arizona,2020-05-05,7900,3702
Arizona,2020-05-06,7660,3680
Arizona,2020-05-07,7191,3641
Arizona,2020-05-08,7025,3563
Arizona,2020-05-09,5956,2894
Arizona,2020-05-10,4938,2503
